fishery,area,year,species,catch,cv
census,1,92,Blue_whiting,960156.7906501504,0.01
census,1,93,Blue_whiting,958511.1852078123,0.01
census,1,94,Blue_whiting,957856.708158193,0.01
census,1,95,Blue_whiting,944013.2784560581,0.01
census,1,96,Blue_whiting,944748.0723359438,0.01
census,1,97,Blue_whiting,965987.536282878,0.01
census,1,98,Blue_whiting,958467.1284671698,0.01
census,1,99,Blue_whiting,945342.6459952741,0.01
census,1,100,Blue_whiting,936934.1413793132,0.01
census,1,101,Blue_whiting,968368.1427326179,0.01
census,1,102,Blue_whiting,953505.9317816879,0.01
census,1,103,Blue_whiting,968504.5062973521,0.01
census,1,104,Blue_whiting,955413.1472185472,0.01
census,1,105,Blue_whiting,953789.7928886466,0.01
census,1,106,Blue_whiting,942427.6185822606,0.01
census,1,107,Blue_whiting,965540.1959161868,0.01
census,1,108,Blue_whiting,958390.2013066574,0.01
census,1,109,Blue_whiting,947877.0605615193,0.01
census,1,110,Blue_whiting,958085.1815039098,0.01
census,1,111,Blue_whiting,966649.9745470642,0.01
census,1,112,Blue_whiting,955281.4569761656,0.01
census,1,113,Blue_whiting,949657.5802712324,0.01
census,1,114,Blue_whiting,966700.0838412301,0.01
census,1,115,Blue_whiting,953932.7881901865,0.01
census,1,116,Blue_whiting,946812.0706930878,0.01
census,1,117,Blue_whiting,938924.8206708767,0.01
census,1,118,Blue_whiting,970575.0003034837,0.01
census,1,119,Blue_whiting,951278.4681052392,0.01
census,1,120,Blue_whiting,946098.3787963059,0.01
census,1,121,Blue_whiting,943083.5658965942,0.01
census,1,122,Blue_whiting,961682.9048060364,0.01
census,1,123,Blue_whiting,959363.9784215012,0.01
census,1,124,Blue_whiting,974348.6861822272,0.01
census,1,125,Blue_whiting,953390.5174310436,0.01
census,1,126,Blue_whiting,956625.4671516006,0.01
census,1,127,Blue_whiting,952116.6285239138,0.01
census,1,128,Blue_whiting,954490.4860080364,0.01
census,1,129,Blue_whiting,977688.2901600865,0.01
census,1,130,Blue_whiting,968764.0537935676,0.01
census,1,131,Blue_whiting,955387.8376916819,0.01
census,1,132,Blue_whiting,962342.9119185194,0.01
census,1,133,Blue_whiting,951250.3723944305,0.01
census,1,134,Blue_whiting,947925.1655062394,0.01
census,1,135,Blue_whiting,957511.5725158838,0.01
census,1,136,Blue_whiting,933564.7461443832,0.01
census,1,137,Blue_whiting,932620.1380069036,0.01
census,1,138,Blue_whiting,938224.2776144857,0.01
census,1,139,Blue_whiting,930452.9280986841,0.01
census,1,140,Blue_whiting,914577.9939034588,0.01
census,1,141,Blue_whiting,916434.4121631169,0.01
census,1,142,Blue_whiting,911716.8242941115,0.01
census,1,143,Blue_whiting,922311.394083771,0.01
census,1,143.99726027397261,Blue_whiting,895739.351685271,0.01
census,1,1,Capelin,3389.8734011016572,0.01
census,1,2,Capelin,0,0.01
census,1,3,Capelin,0,0.01
census,1,4,Capelin,0,0.01
census,1,5,Capelin,0,0.01
census,1,6,Capelin,0,0.01
census,1,7,Capelin,0,0.01
census,1,8,Capelin,0,0.01
census,1,9,Capelin,0,0.01
census,1,10,Capelin,0,0.01
census,1,11,Capelin,0,0.01
census,1,12,Capelin,0,0.01
census,1,13,Capelin,0,0.01
census,1,14,Capelin,0,0.01
census,1,15,Capelin,280856.0418817086,0.01
census,1,16,Capelin,264976.113786226,0.01
census,1,17,Capelin,337771.90965991525,0.01
census,1,18,Capelin,311245.6739179624,0.01
census,1,19,Capelin,324166.2460300485,0.01
census,1,20,Capelin,428313.8558957766,0.01
census,1,21,Capelin,454789.10450974246,0.01
census,1,22,Capelin,382228.08480046235,0.01
census,1,23,Capelin,394745.7865960192,0.01
census,1,24,Capelin,424595.9343488064,0.01
census,1,25,Capelin,1322147.1471022593,0.01
census,1,26,Capelin,1376640.0462428192,0.01
census,1,27,Capelin,1517303.8304925843,0.01
census,1,28,Capelin,872824.7189959908,0.01
census,1,29,Capelin,892096.9539265642,0.01
census,1,30,Capelin,496082.5445989672,0.01
census,1,31,Capelin,1576.7626964574738,0.01
census,1,32,Capelin,0,0.01
census,1,33,Capelin,0,0.01
census,1,34,Capelin,0,0.01
census,1,35,Capelin,709957.5686939012,0.01
census,1,36,Capelin,698413.4071763055,0.01
census,1,37,Capelin,426409.3553467106,0.01
census,1,38,Capelin,1189.2269848006074,0.01
census,1,39,Capelin,0,0.01
census,1,40,Capelin,0,0.01
census,1,41,Capelin,10280.099668907735,0.01
census,1,42,Capelin,13100.783835742825,0.01
census,1,43,Capelin,216818.98278554098,0.01
census,1,44,Capelin,646316.1566021899,0.01
census,1,45,Capelin,427271.7430521674,0.01
census,1,46,Capelin,670509.8600084849,0.01
census,1,47,Capelin,619771.4704089622,0.01
census,1,48,Capelin,2011.981420491195,0.01
census,1,49,Capelin,8705.985699910485,0.01
census,1,50,Capelin,29.110721387182075,0.01
census,1,51,Capelin,28413.730651210284,0.01
census,1,52,Capelin,33740.51978446828,0.01
census,1,53,Capelin,283375.41741760535,0.01
census,1,54,Capelin,331415.15817803715,0.01
census,1,55,Capelin,500485.8464844518,0.01
census,1,56,Capelin,308961.8765200982,0.01
census,1,57,Capelin,166824.70679240045,0.01
census,1,58,Capelin,76697.50488861203,0.01
census,1,59,Capelin,279274.8647642022,0.01
census,1,60,Capelin,115961.97363303702,0.01
census,1,61,Capelin,123692.19707309651,0.01
census,1,62,Capelin,140522.84376428326,0.01
census,1,63,Capelin,140649.28726147156,0.01
census,1,64,Capelin,120999.45426874007,0.01
census,1,65,Capelin,89261.03591852591,0.01
census,1,66,Capelin,73085.35367845223,0.01
census,1,67,Capelin,97524.9712677528,0.01
census,1,68,Capelin,104586.61960226894,0.01
census,1,69,Capelin,94960.70234762458,0.01
census,1,70,Capelin,131377.17277704025,0.01
census,1,71,Capelin,130277.27248058756,0.01
census,1,72,Capelin,93506.31953977,0.01
census,1,73,Capelin,109422.26603718712,0.01
census,1,74,Capelin,149659.72319014338,0.01
census,1,75,Capelin,135810.62321137486,0.01
census,1,76,Capelin,100782.13483361446,0.01
census,1,77,Capelin,127807.49333720573,0.01
census,1,78,Capelin,124274.58639413267,0.01
census,1,79,Capelin,112011.74600784271,0.01
census,1,80,Capelin,131529.00749680068,0.01
census,1,81,Capelin,127552.15753909347,0.01
census,1,82,Capelin,107709.91143629097,0.01
census,1,83,Capelin,131465.356693461,0.01
census,1,84,Capelin,133915.85488399322,0.01
census,1,85,Capelin,119324.17533874951,0.01
census,1,86,Capelin,99749.82736180798,0.01
census,1,87,Capelin,107288.92863508893,0.01
census,1,88,Capelin,145934.16890372435,0.01
census,1,89,Capelin,142111.27383123437,0.01
census,1,90,Capelin,107348.95341451684,0.01
census,1,91,Capelin,119452.01329929852,0.01
census,1,92,Capelin,140028.06765201772,0.01
census,1,93,Capelin,123943.53272812498,0.01
census,1,94,Capelin,127287.34343839067,0.01
census,1,95,Capelin,149475.09146008507,0.01
census,1,96,Capelin,122107.03766200214,0.01
census,1,97,Capelin,96076.45750379769,0.01
census,1,98,Capelin,88681.64115810393,0.01
census,1,99,Capelin,90809.92300809572,0.01
census,1,100,Capelin,114430.33933786397,0.01
census,1,101,Capelin,123410.08515430546,0.01
census,1,102,Capelin,113452.45491114708,0.01
census,1,103,Capelin,109076.81615105282,0.01
census,1,104,Capelin,114728.1289034776,0.01
census,1,105,Capelin,119963.01291482114,0.01
census,1,106,Capelin,120810.64587848046,0.01
census,1,107,Capelin,132891.66293594785,0.01
census,1,108,Capelin,128724.9726686191,0.01
census,1,109,Capelin,108602.22919326618,0.01
census,1,110,Capelin,114513.4817233512,0.01
census,1,111,Capelin,145346.02701464403,0.01
census,1,112,Capelin,128206.10488469308,0.01
census,1,113,Capelin,122105.35738307337,0.01
census,1,114,Capelin,129631.40133292523,0.01
census,1,115,Capelin,127078.42790226673,0.01
census,1,116,Capelin,129463.61686419607,0.01
census,1,117,Capelin,110023.15812504702,0.01
census,1,118,Capelin,86168.58675887194,0.01
census,1,119,Capelin,120641.69671435139,0.01
census,1,120,Capelin,143124.87488741774,0.01
census,1,121,Capelin,129932.88716926276,0.01
census,1,122,Capelin,125723.39240129583,0.01
census,1,123,Capelin,133860.78297471403,0.01
census,1,124,Capelin,150898.6936190943,0.01
census,1,125,Capelin,153578.5289021926,0.01
census,1,126,Capelin,134611.17987254064,0.01
census,1,127,Capelin,145291.1206592129,0.01
census,1,128,Capelin,148780.13974208824,0.01
census,1,129,Capelin,107796.12989024913,0.01
census,1,130,Capelin,112360.20945261088,0.01
census,1,131,Capelin,140225.90959525396,0.01
census,1,132,Capelin,126788.36572524096,0.01
census,1,133,Capelin,119839.10175665058,0.01
census,1,134,Capelin,114122.12749417807,0.01
census,1,135,Capelin,112704.18598866608,0.01
census,1,136,Capelin,152892.50078803144,0.01
census,1,137,Capelin,177050.73650892812,0.01
census,1,138,Capelin,140398.2914735696,0.01
census,1,139,Capelin,128683.01772459644,0.01
census,1,140,Capelin,109469.0825209278,0.01
census,1,141,Capelin,117332.47586970654,0.01
census,1,142,Capelin,135317.85125628096,0.01
census,1,143,Capelin,123045.64021379578,0.01
census,1,143.99726027397261,Capelin,131061.94876474288,0.01
census,1,1,Green_halibut,53.79732338796504,0.01
census,1,2,Green_halibut,0,0.01
census,1,3,Green_halibut,0,0.01
census,1,4,Green_halibut,0,0.01
census,1,5,Green_halibut,0,0.01
census,1,6,Green_halibut,0,0.01
census,1,7,Green_halibut,0,0.01
census,1,8,Green_halibut,0,0.01
census,1,9,Green_halibut,0,0.01
census,1,10,Green_halibut,0,0.01
census,1,11,Green_halibut,0,0.01
census,1,12,Green_halibut,0,0.01
census,1,13,Green_halibut,0,0.01
census,1,14,Green_halibut,0,0.01
census,1,15,Green_halibut,20070.71166611285,0.01
census,1,16,Green_halibut,20282.855063281182,0.01
census,1,17,Green_halibut,19906.325807043344,0.01
census,1,18,Green_halibut,20515.460992624237,0.01
census,1,19,Green_halibut,20973.420488057818,0.01
census,1,20,Green_halibut,20614.351708005077,0.01
census,1,21,Green_halibut,20703.186907134506,0.01
census,1,22,Green_halibut,21095.35143283993,0.01
census,1,23,Green_halibut,20898.86054589556,0.01
census,1,24,Green_halibut,21644.669993277214,0.01
census,1,25,Green_halibut,32345.799753506784,0.01
census,1,26,Green_halibut,31840.918403300242,0.01
census,1,27,Green_halibut,31888.56642581241,0.01
census,1,28,Green_halibut,31187.284917561825,0.01
census,1,29,Green_halibut,30853.83605433522,0.01
census,1,30,Green_halibut,30900.390525984807,0.01
census,1,31,Green_halibut,30056.41709418127,0.01
census,1,32,Green_halibut,31549.84913735147,0.01
census,1,33,Green_halibut,30979.92090645519,0.01
census,1,34,Green_halibut,30517.547080467015,0.01
census,1,35,Green_halibut,30553.677430354404,0.01
census,1,36,Green_halibut,32619.978005460016,0.01
census,1,37,Green_halibut,35963.125386892214,0.01
census,1,38,Green_halibut,23624.158835451806,0.01
census,1,39,Green_halibut,27780.011050544563,0.01
census,1,40,Green_halibut,32030.899880388155,0.01
census,1,41,Green_halibut,20295.828343943667,0.01
census,1,42,Green_halibut,25363.054711355424,0.01
census,1,43,Green_halibut,41594.13029348746,0.01
census,1,44,Green_halibut,29612.212644694628,0.01
census,1,45,Green_halibut,34079.15152398235,0.01
census,1,46,Green_halibut,27088.135614073562,0.01
census,1,47,Green_halibut,28091.340771659517,0.01
census,1,48,Green_halibut,38409.047032040195,0.01
census,1,49,Green_halibut,37813.59910522463,0.01
census,1,50,Green_halibut,35447.115538292695,0.01
census,1,51,Green_halibut,29711.3461460355,0.01
census,1,52,Green_halibut,25689.747930639605,0.01
census,1,53,Green_halibut,22561.2595160255,0.01
census,1,54,Green_halibut,25038.674536091847,0.01
census,1,55,Green_halibut,25787.681355595592,0.01
census,1,56,Green_halibut,31194.802978693562,0.01
census,1,57,Green_halibut,33015.6019901546,0.01
census,1,58,Green_halibut,33237.83509411654,0.01
census,1,59,Green_halibut,33445.42771688293,0.01
census,1,60,Green_halibut,65140.9994492785,0.01
census,1,61,Green_halibut,64277.50269641135,0.01
census,1,62,Green_halibut,60415.38274065802,0.01
census,1,63,Green_halibut,60376.138071760026,0.01
census,1,64,Green_halibut,58980.4556172601,0.01
census,1,65,Green_halibut,57509.95028715655,0.01
census,1,66,Green_halibut,56306.10483053874,0.01
census,1,67,Green_halibut,56717.93681264502,0.01
census,1,68,Green_halibut,57114.63789257522,0.01
census,1,69,Green_halibut,56283.28786513494,0.01
census,1,70,Green_halibut,55995.548941816916,0.01
census,1,71,Green_halibut,56612.59934864636,0.01
census,1,72,Green_halibut,55844.980514349954,0.01
census,1,73,Green_halibut,55960.81185332498,0.01
census,1,74,Green_halibut,54787.697316701655,0.01
census,1,75,Green_halibut,56134.67656299698,0.01
census,1,76,Green_halibut,55541.3469132091,0.01
census,1,77,Green_halibut,55497.62934599345,0.01
census,1,78,Green_halibut,54095.73356825928,0.01
census,1,79,Green_halibut,54334.520072767154,0.01
census,1,80,Green_halibut,54342.17646466713,0.01
census,1,81,Green_halibut,54611.19866370173,0.01
census,1,82,Green_halibut,55073.0407503366,0.01
census,1,83,Green_halibut,54228.45148713453,0.01
census,1,84,Green_halibut,54824.21602273246,0.01
census,1,85,Green_halibut,53986.35100216854,0.01
census,1,86,Green_halibut,54427.147088786085,0.01
census,1,87,Green_halibut,54961.9196600013,0.01
census,1,88,Green_halibut,54598.54480033677,0.01
census,1,89,Green_halibut,53826.92643956165,0.01
census,1,90,Green_halibut,55006.28387401539,0.01
census,1,91,Green_halibut,55171.9853502822,0.01
census,1,92,Green_halibut,55752.45107099499,0.01
census,1,93,Green_halibut,55603.62133082453,0.01
census,1,94,Green_halibut,55577.51515910846,0.01
census,1,95,Green_halibut,54739.06433195636,0.01
census,1,96,Green_halibut,55449.623157625785,0.01
census,1,97,Green_halibut,54568.47915661039,0.01
census,1,98,Green_halibut,54327.27862048665,0.01
census,1,99,Green_halibut,55007.014644475785,0.01
census,1,100,Green_halibut,54600.839001049964,0.01
census,1,101,Green_halibut,55681.10040036021,0.01
census,1,102,Green_halibut,54153.62152589196,0.01
census,1,103,Green_halibut,54168.413182255244,0.01
census,1,104,Green_halibut,53894.76552702564,0.01
census,1,105,Green_halibut,53589.611974791274,0.01
census,1,106,Green_halibut,54901.48575430105,0.01
census,1,107,Green_halibut,54238.627886865535,0.01
census,1,108,Green_halibut,54560.8948458541,0.01
census,1,109,Green_halibut,54173.31397534899,0.01
census,1,110,Green_halibut,54227.94459984719,0.01
census,1,111,Green_halibut,53794.942146814785,0.01
census,1,112,Green_halibut,53589.183041912336,0.01
census,1,113,Green_halibut,54921.31507216066,0.01
census,1,114,Green_halibut,53799.583656751354,0.01
census,1,115,Green_halibut,54371.037412048914,0.01
census,1,116,Green_halibut,52845.65737331265,0.01
census,1,117,Green_halibut,53278.029766322354,0.01
census,1,118,Green_halibut,53500.17731967541,0.01
census,1,119,Green_halibut,53599.90071793122,0.01
census,1,120,Green_halibut,53163.500495146945,0.01
census,1,121,Green_halibut,54589.00888689291,0.01
census,1,122,Green_halibut,53907.07579019265,0.01
census,1,123,Green_halibut,53667.696481795516,0.01
census,1,124,Green_halibut,53475.49754952537,0.01
census,1,125,Green_halibut,53479.52478455745,0.01
census,1,126,Green_halibut,53962.16999412409,0.01
census,1,127,Green_halibut,54799.79997000451,0.01
census,1,128,Green_halibut,53263.47879307964,0.01
census,1,129,Green_halibut,53523.73296706146,0.01
census,1,130,Green_halibut,52925.51162735998,0.01
census,1,131,Green_halibut,53169.00349656122,0.01
census,1,132,Green_halibut,53491.25398993174,0.01
census,1,133,Green_halibut,52687.967399247515,0.01
census,1,134,Green_halibut,54247.95262297728,0.01
census,1,135,Green_halibut,53997.6026394475,0.01
census,1,136,Green_halibut,53636.928008894414,0.01
census,1,137,Green_halibut,53942.10113833678,0.01
census,1,138,Green_halibut,53250.55149481195,0.01
census,1,139,Green_halibut,54322.62922815886,0.01
census,1,140,Green_halibut,53767.77155968182,0.01
census,1,141,Green_halibut,54195.21694555972,0.01
census,1,142,Green_halibut,53835.150379725164,0.01
census,1,143,Green_halibut,53927.75344811214,0.01
census,1,143.99726027397261,Green_halibut,52302.0647407334,0.01
census,1,1,Haddock,107.16101784060018,0.01
census,1,2,Haddock,0,0.01
census,1,3,Haddock,0,0.01
census,1,4,Haddock,0,0.01
census,1,5,Haddock,0,0.01
census,1,6,Haddock,0,0.01
census,1,7,Haddock,0,0.01
census,1,8,Haddock,0,0.01
census,1,9,Haddock,0,0.01
census,1,10,Haddock,0,0.01
census,1,11,Haddock,0,0.01
census,1,12,Haddock,0,0.01
census,1,13,Haddock,0,0.01
census,1,14,Haddock,0,0.01
census,1,15,Haddock,150160.97642657263,0.01
census,1,16,Haddock,111272.68993765819,0.01
census,1,17,Haddock,82228.89848907429,0.01
census,1,18,Haddock,62065.68437934749,0.01
census,1,19,Haddock,46714.422393685905,0.01
census,1,20,Haddock,36920.125612550946,0.01
census,1,21,Haddock,29559.675172404775,0.01
census,1,22,Haddock,25756.7504232201,0.01
census,1,23,Haddock,24302.955224800608,0.01
census,1,24,Haddock,22359.36618983392,0.01
census,1,25,Haddock,18258.202102162748,0.01
census,1,26,Haddock,14891.785739825162,0.01
census,1,27,Haddock,18380.222455818384,0.01
census,1,28,Haddock,29721.034788900764,0.01
census,1,29,Haddock,34747.89966401914,0.01
census,1,30,Haddock,44281.20014817469,0.01
census,1,31,Haddock,59787.98361780231,0.01
census,1,32,Haddock,34847.01782996403,0.01
census,1,33,Haddock,21809.334410406114,0.01
census,1,34,Haddock,19717.292538055837,0.01
census,1,35,Haddock,73734.35912101755,0.01
census,1,36,Haddock,130629.43811175006,0.01
census,1,37,Haddock,128993.29181717114,0.01
census,1,38,Haddock,173473.1983935905,0.01
census,1,39,Haddock,154787.78475358317,0.01
census,1,40,Haddock,172746.14806542965,0.01
census,1,41,Haddock,137956.50762065916,0.01
census,1,42,Haddock,89142.93271423188,0.01
census,1,43,Haddock,59563.67367020063,0.01
census,1,44,Haddock,57506.35942957668,0.01
census,1,45,Haddock,60107.48964363812,0.01
census,1,46,Haddock,61403.77283776611,0.01
census,1,47,Haddock,69120.05767329886,0.01
census,1,48,Haddock,94824.17804716363,0.01
census,1,49,Haddock,107147.56989107709,0.01
census,1,50,Haddock,147287.69718361515,0.01
census,1,51,Haddock,160374.84827624072,0.01
census,1,52,Haddock,119586.88463532637,0.01
census,1,53,Haddock,120389.33621747386,0.01
census,1,54,Haddock,138936.95050898424,0.01
census,1,55,Haddock,157690.88208760408,0.01
census,1,56,Haddock,154194.36860772036,0.01
census,1,57,Haddock,92828.88050414064,0.01
census,1,58,Haddock,79111.86494643369,0.01
census,1,59,Haddock,87599.45060790848,0.01
census,1,60,Haddock,54076.83597550808,0.01
census,1,61,Haddock,61978.90103900709,0.01
census,1,62,Haddock,66120.51365410117,0.01
census,1,63,Haddock,68337.18377733823,0.01
census,1,64,Haddock,70840.67166891546,0.01
census,1,65,Haddock,102936.85861416953,0.01
census,1,66,Haddock,124427.85084316778,0.01
census,1,67,Haddock,139628.97083636274,0.01
census,1,68,Haddock,146441.49911950217,0.01
census,1,69,Haddock,134886.72267805904,0.01
census,1,70,Haddock,122452.65656269793,0.01
census,1,71,Haddock,106630.69474780743,0.01
census,1,72,Haddock,95355.76734420868,0.01
census,1,73,Haddock,87376.27338644302,0.01
census,1,74,Haddock,78161.5965021561,0.01
census,1,75,Haddock,83537.7561495604,0.01
census,1,76,Haddock,139997.6937784925,0.01
census,1,77,Haddock,183428.76425391238,0.01
census,1,78,Haddock,206113.1836117945,0.01
census,1,79,Haddock,217565.56509622358,0.01
census,1,80,Haddock,200994.24175551167,0.01
census,1,81,Haddock,181766.02211850893,0.01
census,1,82,Haddock,154912.09691787153,0.01
census,1,83,Haddock,137936.0974554323,0.01
census,1,84,Haddock,123586.62632485603,0.01
census,1,85,Haddock,110258.36835781514,0.01
census,1,86,Haddock,102858.19629335371,0.01
census,1,87,Haddock,94100.75384486713,0.01
census,1,88,Haddock,85505.45541026143,0.01
census,1,89,Haddock,91551.35163561892,0.01
census,1,90,Haddock,95148.70527865621,0.01
census,1,91,Haddock,97296.3999988119,0.01
census,1,92,Haddock,94969.5093717365,0.01
census,1,93,Haddock,86875.10222887619,0.01
census,1,94,Haddock,80792.824041561,0.01
census,1,95,Haddock,71452.15151575369,0.01
census,1,96,Haddock,65936.92276465367,0.01
census,1,97,Haddock,61601.948837314405,0.01
census,1,98,Haddock,58304.3876268616,0.01
census,1,99,Haddock,52760.803603526714,0.01
census,1,100,Haddock,48575.27065285633,0.01
census,1,101,Haddock,43929.19999431625,0.01
census,1,102,Haddock,40232.82386685893,0.01
census,1,103,Haddock,36891.58454850479,0.01
census,1,104,Haddock,35306.1104077861,0.01
census,1,105,Haddock,34652.690982301385,0.01
census,1,106,Haddock,35148.317066683936,0.01
census,1,107,Haddock,34704.68303447091,0.01
census,1,108,Haddock,34253.4722090493,0.01
census,1,109,Haddock,34308.293286433705,0.01
census,1,110,Haddock,39237.938614972554,0.01
census,1,111,Haddock,65435.928063249194,0.01
census,1,112,Haddock,83531.8823869469,0.01
census,1,113,Haddock,97597.00594084956,0.01
census,1,114,Haddock,104567.8699144095,0.01
census,1,115,Haddock,102425.9357166004,0.01
census,1,116,Haddock,104483.05583290842,0.01
census,1,117,Haddock,104558.11988624,0.01
census,1,118,Haddock,105699.087139561,0.01
census,1,119,Haddock,105102.79785346742,0.01
census,1,120,Haddock,99701.42272927474,0.01
census,1,121,Haddock,95983.18617335067,0.01
census,1,122,Haddock,96946.42475212102,0.01
census,1,123,Haddock,97427.23701465451,0.01
census,1,124,Haddock,98229.20858236779,0.01
census,1,125,Haddock,110095.93852586848,0.01
census,1,126,Haddock,113955.64852886117,0.01
census,1,127,Haddock,120684.01081893253,0.01
census,1,128,Haddock,123131.22923916279,0.01
census,1,129,Haddock,122116.55034194468,0.01
census,1,130,Haddock,120346.22107534739,0.01
census,1,131,Haddock,119308.17399290751,0.01
census,1,132,Haddock,119897.33783691915,0.01
census,1,133,Haddock,122102.6100068792,0.01
census,1,134,Haddock,129357.85569955524,0.01
census,1,135,Haddock,137774.32728010244,0.01
census,1,136,Haddock,143858.2160855345,0.01
census,1,137,Haddock,143822.4538616876,0.01
census,1,138,Haddock,153281.77531591596,0.01
census,1,139,Haddock,154438.07911931683,0.01
census,1,140,Haddock,159967.01505221357,0.01
census,1,141,Haddock,163409.5677424363,0.01
census,1,142,Haddock,175661.7070425742,0.01
census,1,143,Haddock,191370.0114967939,0.01
census,1,143.99726027397261,Haddock,201260.97213364215,0.01
census,1,1,Long_rough_dab,0,0.01
census,1,2,Long_rough_dab,0,0.01
census,1,3,Long_rough_dab,0,0.01
census,1,4,Long_rough_dab,0,0.01
census,1,5,Long_rough_dab,0,0.01
census,1,6,Long_rough_dab,0,0.01
census,1,7,Long_rough_dab,0,0.01
census,1,8,Long_rough_dab,0,0.01
census,1,9,Long_rough_dab,0,0.01
census,1,10,Long_rough_dab,0,0.01
census,1,11,Long_rough_dab,0,0.01
census,1,12,Long_rough_dab,0,0.01
census,1,13,Long_rough_dab,0,0.01
census,1,14,Long_rough_dab,0,0.01
