year,Blue_whiting,Capelin,Green_halibut,Haddock,Long_rough_dab,Mackerel,North_atl_cod,Norwegian_ssh,Polar_cod,Redfish,Saithe
28,1068530.6499503572,872824.7189959908,31187.284917561825,29721.034788900764,0,148892.26030514878,1484274.0722709189,19290.706629525637,0,45711.865517684906,357250.12406964815
29,1098066.8983592805,892096.9539265642,30853.83605433522,34747.89966401914,0,138328.4816884859,1467753.0980094147,20509.28087401678,0,45918.7539939906,217776.41640014594
30,1361064.3463187166,496082.5445989672,30900.390525984807,44281.20014817469,0,152024.42823142643,1579113.5919424144,21613.977834984107,0,45702.549540347776,125572.0596144743
31,1115600.304383452,1576.7626964574738,30056.41709418127,59787.98361780231,0,172579.09657814368,2131581.857914316,22337.60692314193,0,44687.11909690512,154310.03627225565
32,1067912.0000311534,0,31549.84913735147,34847.01782996403,0,170505.56243138798,2137523.3001327463,182581.65804508555,0,45176.509846524066,162489.57955673905
33,1208141.5551003132,0,30979.92090645519,21809.334410406114,0,155306.35439935347,1638001.3328635788,128839.2622456884,0,45595.87467781647,154980.52069477673
34,1003795.9886241992,0,30517.547080467015,19717.292538055837,0,171594.91523228824,1061621.5264279135,100166.69198746959,0,48097.6883631336,111211.69182317014
35,545286.4925977984,709957.5686939012,30553.677430354404,73734.35912101755,0,183770.17684519713,1082606.6624701417,96477.42514045209,0,47390.9986198506,90545.8780632376
36,698680.3571077131,698413.4071763055,32619.978005460016,130629.43811175006,0,230977.58748770363,1509256.2452378122,112466.99486366057,0,47513.8089587925,80570.69586491188
37,763692.7165357373,426409.3553467106,35963.125386892214,128993.29181717114,0,272651.91996691615,1363926.7258971084,196619.90772489627,0,47614.16617328196,87939.1640844297
38,769582.0362734522,1189.2269848006074,23624.158835451806,173473.1983935905,0,300698.86041720334,2032395.8345089005,296583.8903965371,0,98284.85378801223,90978.20340694558
39,906652.5304703041,0,27780.011050544563,154787.78475358317,0,279589.90269778884,2207840.514796499,462731.5441789062,0,86783.78236649305,87165.08672168684
40,1003743.0020616447,0,32030.899880388155,172746.14806542965,0,218760.84160662594,2217012.9366220217,580251.8134423628,0,68411.26072263326,78873.57715091141
41,747001.5512865443,10280.099668907735,20295.828343943667,137956.50762065916,0,224181.5888830844,2342243.613849512,636600.353437991,0,36777.092636694026,70537.80461862327
42,1083067.6545834867,13100.783835742825,25363.054711355424,89142.93271423188,0,260925.03864071053,2166255.2680392596,567959.5022091862,0,35146.089284888505,74305.78956261832
43,1120918.3140811678,216818.98278554098,41594.13029348746,59563.67367020063,0,221975.41444362194,1923846.3290517286,535694.4044407686,0,56860.04320621091,78868.32476006939
44,1154323.8159078523,646316.1566021899,29612.212644694628,57506.35942957668,0,257267.2329435285,1686941.3734748305,462115.2470728675,0,40711.215409854354,78886.2679696214
45,1172886.5550917299,427271.7430521674,34079.15152398235,60107.48964363812,0,278750.56438450236,1434038.3505243484,281844.85955027054,0,34907.389646104464,82625.84406446046
46,883622.6020626648,670509.8600084849,27088.135614073562,61403.77283776611,0,275125.1934048349,1608806.6479427586,273179.61644700525,0,65381.63040946275,95106.37745921344
47,1146501.3053458736,619771.4704089622,28091.340771659517,69120.05767329886,0,215663.26710804662,1636864.5179171134,233217.68250226375,0,23148.705925184528,107824.25729827346
48,1277127.7796319064,2011.981420491195,38409.047032040195,94824.17804716363,0,204527.47911757758,1824492.2554252236,170773.4680457578,0,6351.753296491598,116172.93629753975
49,1246931.7703757375,8705.985699910485,37813.59910522463,107147.56989107709,0,183325.322755225,1904383.2045464602,199572.2538314591,0,15765.319867798295,126846.816786831
50,1287956.0107386985,29.110721387182075,35447.115538292695,147287.69718361515,0,145846.80130228138,1635044.4967355214,160170.4146908673,0,25444.045775659393,177953.78519458286
51,1354392.6756105062,28413.730651210284,29711.3461460355,160374.84827624072,0,170055.1533843003,1222773.5975137772,209820.7636023856,0,104169.50172582205,178374.6115657594
52,1265069.9504458373,33740.51978446828,25689.747930639605,119586.88463532637,0,166270.60689229923,896436.4509360448,230616.50498558188,0,65013.77666049913,192704.60409566257
53,816050.4310439033,283375.41741760535,22561.2595160255,120389.33621747386,0,178804.05592604104,839211.0589899375,252554.27921890502,0,42744.54144156409,183452.12028843613
54,687463.6890087485,331415.15817803715,25038.674536091847,138936.95050898424,0,191804.95651716887,902394.8642859668,242325.86726775795,0,31797.445252889393,208451.01348777872
55,130216.65360162183,500485.8464844518,25787.681355595592,157690.88208760408,0,195149.55343435876,1035217.0231392117,181466.85334704776,0,39586.864711417256,194749.17408261652
56,460764.99286282755,308961.8765200982,31194.802978693562,154194.36860772036,0,177046.75718676002,1008020.9139472218,161309.68499847592,0,43865.718227377874,194610.6095571433
57,747152.4101324492,166824.70679240045,33015.6019901546,92828.88050414064,0,172316.68992588483,1212466.2107684955,144411.82614674358,0,34287.794680116356,155580.89622374313
58,1157731.0835763433,76697.50488861203,33237.83509411654,79111.86494643369,0,243182.8148882193,1332270.2905186974,107532.6750466788,0,27614.00936327475,151253.46991027248
59,1093268.156257114,279274.8647642022,33445.42771688293,87599.45060790848,0,213985.95967072216,1235429.854648757,82720.05890426255,0,59824.97755648696,163346.18971405167
60,1004507.6003953948,115961.97363303702,65140.9994492785,54076.83597550808,0,164647.4020255057,1457497.041041252,161077.030057495,0,82247.42599691162,32699.96226089259
61,987254.8613186604,123692.19707309651,64277.50269641135,61978.90103900709,0,167418.41252154496,1411528.0006285612,164704.08576903032,0,81944.34073916436,40185.66866426702
62,981686.2007898311,140522.84376428326,60415.38274065802,66120.51365410117,0,166510.98176446132,1420850.0306729872,170191.82062964136,0,83119.84772548762,48301.243733551426
63,964631.5308544385,140649.28726147156,60376.138071760026,68337.18377733823,0,166383.5627733665,1396581.3796788503,171019.909562282,0,80951.59782345084,57339.17036520729
64,958292.9512984974,120999.45426874007,58980.4556172601,70840.67166891546,0,165369.21234125,1398730.0391986165,174439.58937116293,0,80303.07789550428,68466.80076089608
65,958548.8599140383,89261.03591852591,57509.95028715655,102936.85861416953,0,169567.68965399504,1380802.4897069957,167218.65191739204,0,81932.1622618469,80196.31923221209
66,950750.7428078869,73085.35367845223,56306.10483053874,124427.85084316778,0,170856.0307777221,1403730.7180950653,162832.95202479762,0,78195.4309516756,94863.08267382183
67,934075.6216493972,97524.9712677528,56717.93681264502,139628.97083636274,0,166517.4502814972,1400507.6153471875,158964.38227550502,0,80831.55120790598,109672.47711361153
68,946597.4666445485,104586.61960226894,57114.63789257522,146441.49911950217,0,169188.40015213183,1364915.7612676634,154004.63041296165,0,77004.88519930223,127738.5906499941
69,948946.8246971912,94960.70234762458,56283.28786513494,134886.72267805904,0,169327.2365271271,1398054.5240294174,143775.29499207056,0,77482.15211639825,148571.2642872071
70,942126.3825704862,131377.17277704025,55995.548941816916,122452.65656269793,0,171535.07854868614,1407438.3028058999,135996.32252118192,0,76821.45933349206,166062.5046840868
71,951811.5386899001,130277.27248058756,56612.59934864636,106630.69474780743,0,167613.07017758142,1379447.3867015142,135113.73901762578,0,82788.5742742478,192781.3271804807
72,955025.0890362283,93506.31953977,55844.980514349954,95355.76734420868,0,169171.00935284467,1413169.3796655806,135677.38365694712,0,81626.2422238109,213581.62283745565
73,953684.4153562622,109422.26603718712,55960.81185332498,87376.27338644302,0,169904.53156190895,1402225.2238161892,127609.8034650487,0,83270.61617168158,245646.67409789588
74,945150.144840495,149659.72319014338,54787.697316701655,78161.5965021561,0,170770.0985145335,1385500.3704334092,122641.11689716128,0,84072.54536173356,271306.42685422703
75,962218.0110985338,135810.62321137486,56134.67656299698,83537.7561495604,0,169876.07579670454,1356505.3992352148,119463.19420149842,0,78441.39809961148,299275.0968572824
76,971209.0291111518,100782.13483361446,55541.3469132091,139997.6937784925,0,169845.09468619723,1380442.4662026942,111572.08585805028,0,80063.93824347819,328928.7176468116
77,958940.5313617283,127807.49333720573,55497.62934599345,183428.76425391238,0,172727.29700644442,1355009.7855195468,105598.5791637263,0,78914.17704022377,345742.00028462603
78,952439.7218003378,124274.58639413267,54095.73356825928,206113.1836117945,0,173093.54135534758,1398231.670352431,96210.82229796005,0,78276.14104975709,363226.5078317609
79,964877.9463580273,112011.74600784271,54334.520072767154,217565.56509622358,0,172663.81060046502,1335317.8408854408,86194.26385716672,0,79040.95379663986,385665.0240092709
80,950014.7171515186,131529.00749680068,54342.17646466713,200994.24175551167,0,172735.339529181,1310642.8215123662,75322.22413183741,0,75518.48395803472,397628.0297946703
81,950833.6167436033,127552.15753909347,54611.19866370173,181766.02211850893,0,174085.21471422169,1362868.4939314013,65049.43819946314,0,77810.714972331,413678.0789161809
82,957623.6756374568,107709.91143629097,55073.0407503366,154912.09691787153,0,172925.51332401868,1344336.7472508193,52751.87896393939,0,78511.80834084672,430908.98822207947
83,953911.6774297921,131465.356693461,54228.45148713453,137936.0974554323,0,171086.3884789816,1337924.3170377463,44300.77096232979,0,79077.89387620341,439408.67190834024
84,948415.2643293225,133915.85488399322,54824.21602273246,123586.62632485603,0,169570.86110594723,1319577.8159655705,35948.88213443013,0,79953.31553850615,464646.1249613176
85,948899.2129884395,119324.17533874951,53986.35100216854,110258.36835781514,0,171552.75798848618,1301845.756309112,30899.562275862165,0,83628.95314635405,481411.6317832431
86,956903.4697673323,99749.82736180798,54427.147088786085,102858.19629335371,0,172432.8596393399,1316659.4556238765,27986.22683216899,0,80480.54635884152,495923.8014437329
87,960140.1982902939,107288.92863508893,54961.9196600013,94100.75384486713,0,174527.80365513064,1332685.6800756129,23873.93466618793,0,82849.91744977351,523183.9144721329
88,960569.2923422231,145934.16890372435,54598.54480033677,85505.45541026143,0,174332.45371796124,1346305.2810330277,19847.88311289032,0,82518.33650537796,532860.181050566
89,967795.4679203043,142111.27383123437,53826.92643956165,91551.35163561892,0,175241.86956385814,1331185.8420747372,16341.477291646579,0,80797.96482235566,554405.3210923633
90,981238.37943435,107348.95341451684,55006.28387401539,95148.70527865621,0,174933.73285828697,1353824.007295897,12829.14174992743,0,80815.37259400336,550994.6870858555
91,953983.0949740835,119452.01329929852,55171.9853502822,97296.3999988119,0,173637.29560247375,1372961.0372315506,9761.51687116736,0,79806.10360133222,562238.0350593046
92,960156.7906501504,140028.06765201772,55752.45107099499,94969.5093717365,0,174645.67975342608,1376003.3833542294,7810.335839906958,0,85063.85841307207,566686.2856534317
93,958511.1852078123,123943.53272812498,55603.62133082453,86875.10222887619,0,176068.6533394293,1386234.800142881,6021.990430513845,0,83513.33200372724,582260.2318686895
94,957856.708158193,127287.34343839067,55577.51515910846,80792.824041561,0,170698.8790871421,1413616.292178549,4752.162488543014,0,82211.4756346665,581516.6145217959
95,944013.2784560581,149475.09146008507,54739.06433195636,71452.15151575369,0,171727.61439151125,1389919.391350595,5743.277029149414,0,79693.85082411901,582917.7821730209
96,944748.0723359438,122107.03766200214,55449.623157625785,65936.92276465367,0,169836.66149754883,1374137.2602473397,6292.817694425215,0,80021.56635584147,591069.268601395
97,965987.536282878,96076.45750379769,54568.47915661039,61601.948837314405,0,170024.66838891344,1385366.0364920353,4643.918307123833,0,80226.55416982251,589318.948453538
98,958467.1284671698,88681.64115810393,54327.27862048665,58304.3876268616,0,172066.16625691674,1358518.4090966282,3042.910923046498,0,82438.39463531725,584346.8355457888
99,945342.6459952741,90809.92300809572,55007.014644475785,52760.803603526714,0,170875.87353394015,1364915.5659279488,1986.6211840806816,0,83427.90512915268,593616.5113177795
100,936934.1413793132,114430.33933786397,54600.839001049964,48575.27065285633,0,174606.6026868338,1409478.659778723,1538.5426886983698,0,82236.08574479274,608216.6420959312
101,968368.1427326179,123410.08515430546,55681.10040036021,43929.19999431625,0,177095.09032810456,1371014.3113805514,1287.6603565699263,0,80861.48700960314,607068.533146755
102,953505.9317816879,113452.45491114708,54153.62152589196,40232.82386685893,0,177461.07271838048,1327669.685330955,1070.9179525062975,0,83627.98437872177,637700.9356289502
103,968504.5062973521,109076.81615105282,54168.413182255244,36891.58454850479,0,174733.50371058926,1354028.5487553019,979.0580272897046,0,84251.4535935101,626145.7578475241
104,955413.1472185472,114728.1289034776,53894.76552702564,35306.1104077861,0,175618.61213392127,1364880.6852478327,1503.215395904501,0,83277.03440982007,629856.8700397082
105,953789.7928886466,119963.01291482114,53589.611974791274,34652.690982301385,0,178240.57795211897,1351946.358140836,1597.2129635562858,0,83976.07013528368,638285.359122107
106,942427.6185822606,120810.64587848046,54901.48575430105,35148.317066683936,0,173784.46979636143,1357949.8677686113,987.523579689792,0,83225.87595309647,638896.7515808991
107,965540.1959161868,132891.66293594785,54238.627886865535,34704.68303447091,0,172572.62204113835,1341210.040718953,640.3842979732201,0,87382.87283888564,628602.2788927688
108,958390.2013066574,128724.9726686191,54560.8948458541,34253.4722090493,0,174024.4860027049,1334140.8789949222,592.2210751252687,0,88132.08817914104,633381.1418110016
109,947877.0605615193,108602.22919326618,54173.31397534899,34308.293286433705,0,170800.81756677994,1313981.3068486366,582.3010316946414,0,86536.95154161194,620558.1997181893
110,958085.1815039098,114513.4817233512,54227.94459984719,39237.938614972554,0,168872.66309227937,1349921.309218482,480.69757211123016,0,86176.51895822216,638413.2410632807
111,966649.9745470642,145346.02701464403,53794.942146814785,65435.928063249194,0,168244.77408116168,1358074.028825479,354.8018960943243,0,85824.4487845773,628807.7059398746
112,955281.4569761656,128206.10488469308,53589.183041912336,83531.8823869469,0,166963.1126998783,1350578.388991758,291.2170213016717,0,91507.52368000317,636126.3746642987
113,949657.5802712324,122105.35738307337,54921.31507216066,97597.00594084956,0,164843.50228846612,1363640.4114775753,483.8061111115105,0,92604.64447840505,624664.7125790303
114,966700.0838412301,129631.40133292523,53799.583656751354,104567.8699144095,0,165278.65428643115,1376621.6304248113,759.4866128831576,0,89835.50658434135,626662.8096327913
115,953932.7881901865,127078.42790226673,54371.037412048914,102425.9357166004,0,168358.15522209066,1390690.5137703798,1100.2635367250596,0,93651.95655731326,639130.561995652
116,946812.0706930878,129463.61686419607,52845.65737331265,104483.05583290842,0,166560.55010674262,1358505.4548278158,1554.275682240593,0,92314.28832666545,641492.724812585
117,938924.8206708767,110023.15812504702,53278.029766322354,104558.11988624,0,164682.6382877627,1389698.9271448157,2145.105861602179,0,94185.30413041863,647042.4492494449
118,970575.0003034837,86168.58675887194,53500.17731967541,105699.087139561,0,165668.06377470528,1356847.972959774,2713.415722390676,0,91548.86560280416,655956.4864390164
119,951278.4681052392,120641.69671435139,53599.90071793122,105102.79785346742,0,166601.87678433093,1357311.0039703758,3572.3013249275064,0,92844.06600184043,639850.0566549387
120,946098.3787963059,143124.87488741774,53163.500495146945,99701.42272927474,0,165665.2133857292,1352862.7707087123,4270.945819563135,0,91682.25997196103,658277.6261732476
121,943083.5658965942,129932.88716926276,54589.00888689291,95983.18617335067,0,163479.95990134103,1371134.360658419,4971.660496672134,0,92012.14825716997,652677.8188364498
122,961682.9048060364,125723.39240129583,53907.07579019265,96946.42475212102,0,168635.52275180444,1347384.0245491345,5929.557319082243,0,92789.15574536583,660448.5667925307
123,959363.9784215012,133860.78297471403,53667.696481795516,97427.23701465451,0,164545.5861647175,1354122.216207767,6655.566493034039,0,98261.70237883662,668696.6192772081
124,974348.6861822272,150898.6936190943,53475.49754952537,98229.20858236779,0,159895.9805672349,1382570.6200310194,7634.962548994821,0,96876.50182446203,678792.9785456237
125,953390.5174310436,153578.5289021926,53479.52478455745,110095.93852586848,0,163661.72641355437,1335145.8036767994,8249.07361665578,0,99085.2005273891,684827.3076797031
126,956625.4671516006,134611.17987254064,53962.16999412409,113955.64852886117,0,164192.08761069033,1410526.753018052,9267.037730805234,0,97245.12939199878,678830.6487363206
127,952116.6285239138,145291.1206592129,54799.79997000451,120684.01081893253,0,161235.12149300356,1407592.638794586,10896.892245102757,0,92406.6101357354,689168.1058574289
128,954490.4860080364,148780.13974208824,53263.47879307964,123131.22923916279,0,164502.37929458552,1406884.0399810665,12315.705097486558,0,93607.12191948465,680868.7588234151
129,977688.2901600865,107796.12989024913,53523.73296706146,122116.55034194468,0,165478.78790820081,1405289.8193647915,13404.23175857773,0,89753.38620547473,696151.9618547554
130,968764.0537935676,112360.20945261088,52925.51162735998,120346.22107534739,0,164708.7608096845,1361281.826756198,13576.861676483435,0,92290.05561340797,693096.6355661886
131,955387.8376916819,140225.90959525396,53169.00349656122,119308.17399290751,0,168364.33365144534,1364565.2881923914,13928.958623469593,0,89000.19368204034,688844.5092734376
132,962342.9119185194,126788.36572524096,53491.25398993174,119897.33783691915,0,164875.4390244458,1374614.4583782153,14350.072013902154,0,91839.02935838114,691742.4988650891
133,951250.3723944305,119839.10175665058,52687.967399247515,122102.6100068792,0,164757.58540582834,1396528.9826389656,14959.569356474276,0,91787.8263188914,701582.167521102
134,947925.1655062394,114122.12749417807,54247.95262297728,129357.85569955524,0,167121.14197636294,1385446.4764540233,15783.409481137402,0,89397.31664086175,709388.7870149661
135,957511.5725158838,112704.18598866608,53997.6026394475,137774.32728010244,0,164155.7298668331,1350796.0795457915,18076.11146738962,0,85842.8174341009,696890.3122389079
136,933564.7461443832,152892.50078803144,53636.928008894414,143858.2160855345,0,163669.80794324377,1387558.5725709747,20179.00891012997,0,87284.045823252,710340.6210423621
137,932620.1380069036,177050.73650892812,53942.10113833678,143822.4538616876,0,163542.65265363164,1390527.7999571648,22300.890984310492,0,87353.90043456106,706305.4765884483
138,938224.2776144857,140398.2914735696,53250.55149481195,153281.77531591596,0,162645.43975653587,1411367.889007876,23799.78979138076,0,82494.84491335976,706773.1766018813
139,930452.9280986841,128683.01772459644,54322.62922815886,154438.07911931683,0,157949.0352159556,1399895.1085519218,23611.813448883113,0,84661.43945539405,702579.8810273056
140,914577.9939034588,109469.0825209278,53767.77155968182,159967.01505221357,0,161015.518363546,1390895.3539180194,22341.701682426523,0,80511.6073450242,712997.7611645588
141,916434.4121631169,117332.47586970654,54195.21694555972,163409.5677424363,0,160987.95439755454,1351586.2604071419,21865.217073219803,0,82912.55958889954,710228.0287733068
142,911716.8242941115,135317.85125628096,53835.150379725164,175661.7070425742,0,158437.99775569548,1423924.1862662896,22203.666758646228,0,86428.14984687601,703581.0630339116
143,922311.394083771,123045.64021379578,53927.75344811214,191370.0114967939,0,160244.49411505164,1384375.5792010727,22440.07038626898,0,76819.1434782655,718170.4663884855
143.99726027397261,895739.351685271,131061.94876474288,52302.0647407334,201260.97213364215,0,164427.65030559327,1401876.1760354731,23567.144581587923,0,79769.4053121426,711752.6272025248
